Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,go_library,input_genes,p_adj_global
GO_Biological_Process_2021,regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314),1/25,0.1178459640404217,0.1891322762569942,0,0,8.365319865319865,17.88820673407011,CALM1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,ribosomal large subunit assembly (GO:0000027),1/25,0.1178459640404217,0.1891322762569942,0,0,8.365319865319865,17.88820673407011,RPL23A,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of peptidyl-threonine phosphorylation (GO:0010800),1/25,0.1178459640404217,0.1891322762569942,0,0,8.365319865319865,17.88820673407011,CALM1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of T cell migration (GO:2000406),1/25,0.1178459640404217,0.1891322762569942,0,0,8.365319865319865,17.88820673407011,CCL5,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,negative regulation of actin filament polymerization (GO:0030837),1/25,0.1178459640404217,0.1891322762569942,0,0,8.365319865319865,17.88820673407011,PFN1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of cellular response to stress (GO:0080135),2/118,0.1178777907834289,0.1891322762569942,0,0,3.480647431386348,7.441996159064892,HSPA8;HSP90AA1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280),2/119,0.1195188772922953,0.1912895182469739,0,0,3.450723879295308,7.330307004338375,LCK;RPS3,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,innate immune response activating cell surface receptor signaling pathway (GO:0002220),2/119,0.1195188772922953,0.1912895182469739,0,0,3.450723879295308,7.330307004338375,PSME1;FYN,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Cellular_Component_2021,nucleus (GO:0005634),28/4484,0.1126982829157457,0.1915870809567677,0,0,1.3478456014362656,2.942402336218414,DDX5;ACTB;ZFP36L2;ACTG1;SLC9A3R1;UBB;CFL1;UBC;RPS3;FYN;RPS27A;LYAR;HSPA8;DUSP2;HSP90AA1;ANXA1;APOBEC3G;GZMA;GZMB;RPL23A;HOPX;ARL4C;STK17A;ID2;TMBIM6;PFN1;CALM1;PPIA,0,100,human,GO_Cellular_Component_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Molecular_Function_2021,ephrin receptor binding (GO:0046875),1/21,0.0999597740324998,0.1918419905674238,0,0,10.04040404040404,23.1229243332888,FYN,0,100,human,GO_Molecular_Function_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,proteoglycan metabolic process (GO:0006029),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,CHST12,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,negative regulation of cell development (GO:0010721),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,B2M,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,negative regulation of transposition (GO:0010529),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,APOBEC3G,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,chaperone cofactor-dependent protein refolding (GO:0051085),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,HSPA8,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of monocyte chemotaxis (GO:0090025),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,CCL5,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of myelination (GO:0031641),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,CST7,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,DNA geometric change (GO:0032392),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,ANXA1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,endothelial cell development (GO:0001885),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,RAP1B,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of regulatory T cell differentiation (GO:0045589),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,LAG3,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of viral life cycle (GO:1903900),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,PPIA,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of G1/S transition of mitotic cell cycle (GO:1900087),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,ANXA1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of microtubule polymerization or depolymerization (GO:0031112),1/26,0.1222622476286691,0.1928096570183169,0,0,8.030303030303031,16.876380218002918,RPS3,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,protein homooligomerization (GO:0051260),2/121,0.1228182019197929,0.1934499151117618,0,0,3.392385525638827,7.1140022366712525,PRF1;B2M,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,protein ubiquitination (GO:0016567),5/525,0.1229913715538717,0.1934864259810909,0,0,1.9615384615384612,4.110680572230083,UBB;UBC;PSME1;HLA-A;RPS27A,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Molecular_Function_2021,peptidase activator activity (GO:0016504),1/22,0.104464697819105,0.1945911037806859,0,0,9.561808561808562,21.59922753970687,PSME1,0,100,human,GO_Molecular_Function_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Molecular_Function_2021,mRNA 3'-UTR AU-rich region binding (GO:0035925),1/22,0.104464697819105,0.1945911037806859,0,0,9.561808561808562,21.59922753970687,ZFP36L2,0,100,human,GO_Molecular_Function_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Molecular_Function_2021,protein tyrosine/serine/threonine phosphatase activity (GO:0008138),1/22,0.104464697819105,0.1945911037806859,0,0,9.561808561808562,21.59922753970687,DUSP2,0,100,human,GO_Molecular_Function_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,cellular response to organic substance (GO:0071310),2/123,0.1261397529272332,0.1956731360127501,0,0,3.335975712599089,6.906686810673667,CCL5;CXCR4,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of macromolecule metabolic process (GO:0010604),4/384,0.1264360285583438,0.1956731360127501,0,0,2.1403508771929824,4.42628585653043,ID2;RPS3;CD3E;ACTG1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,protein peptidyl-prolyl isomerization (GO:0000413),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,PPIA,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,negative regulation of catalytic activity (GO:0043086),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,GZMA,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,negative regulation of cation channel activity (GO:2001258),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,CALM1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of cell junction assembly (GO:1901888),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,RAP1B,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,negative regulation of protein polymerization (GO:0032272),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,PFN1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,cellular senescence (GO:0090398),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,ID2,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,chondroitin sulfate proteoglycan biosynthetic process (GO:0050650),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,CHST12,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,dendritic spine organization (GO:0097061),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,FYN,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,peptide hormone secretion (GO:0030072),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,ANXA1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,entrainment of circadian clock by photoperiod (GO:0043153),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,ID2,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of gene silencing by miRNA (GO:2000637),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,DDX5,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of nitric oxide biosynthetic process (GO:0045429),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,HSP90AA1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,negative regulation of actin filament bundle assembly (GO:0032232),1/27,0.1266566423028266,0.1956731360127501,0,0,7.721056721056721,15.953830010816358,PFN1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,negative regulation of transcription by RNA polymerase II (GO:0000122),6/684,0.1279436549197457,0.1974250177589377,0,0,1.8096403690453773,3.720919746636645,DDX5;UBB;ID2;UBC;RPS27A;LYAR,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,cellular response to oxidative stress (GO:0034599),2/125,0.1294827706147527,0.1979247534653123,0,0,3.281400365024058,6.707863079636441,RPS3;PPIA,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of protein secretion (GO:0050708),2/125,0.1294827706147527,0.1979247534653123,0,0,3.281400365024058,6.707863079636441,CCL5;PPIA,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,negative regulation of calcium ion transmembrane transporter activity (GO:1901020),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,CALM1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of B cell activation (GO:0050864),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,ZFP36L2,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,"regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)",1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,DDX5,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,cellular response to epidermal growth factor stimulus (GO:0071364),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,ZFP36L2,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,cellular zinc ion homeostasis (GO:0006882),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,LCK,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of muscle contraction (GO:0006937),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,ANXA6,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of postsynapse organization (GO:0099175),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,CFL1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,photoperiodism (GO:0009648),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,ID2,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,regulation of protein transport (GO:0051223),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,HSPA8,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,glycogen metabolic process (GO:0005977),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,CALM1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,response to interferon-beta (GO:0035456),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,IFITM1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of microtubule polymerization (GO:0031116),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,RPS3,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,positive regulation of nitric oxide metabolic process (GO:1904407),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,HSP90AA1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,leukocyte cell-cell adhesion (GO:0007159),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,CCL5,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,sulfur compound transport (GO:0072348),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,SLC9A3R1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Biological_Process_2021,protein depolymerization (GO:0051261),1/28,0.1310292553948657,0.1979247534653123,0,0,7.434717545828657,15.109834134055738,CFL1,0,100,human,GO_Biological_Process_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3403278486362705
GO_Molecular_Function_2021,phosphatidylinositol phospholipase C activity (GO:0004435),1/23,0.1089472978360328,0.19903833258506,0,0,9.1267217630854,20.232947516534363,CCL5,0,100,human,GO_Molecular_Function_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3405678610977512
GO_Molecular_Function_2021,C-C chemokine receptor activity (GO:0016493),1/23,0.1089472978360328,0.19903833258506,0,0,9.1267217630854,20.232947516534363,CXCR4,0,100,human,GO_Molecular_Function_2021,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.3405678610977512
